Table 9 [10]:
"TABLE 9"
"CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920)"

,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Diarrhoea and Dysentery",3,4,1,5,1,8,4,3,4,2,13,6,2,4,1,3,1,3,3,2,"Diarrhoea and Dysentery"
"Tuberculosis (all forms including late effects)",31,27,28,29,26,30,27,32,22,20,29,31,24,27,24,44,35,23,27,36,"Tuberculosis (all forms including late effects)"
"Whooping Cough",1,1,5,8,4,1,2,2,4,3,3,4,0,3,7,0,3,1,1,3,"Whooping Cough"
"Scarlet Fever",5,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,"Scarlet Fever"
"Measles",0,9,1,1,2,5,0,0,4,1,0,1,1,2,3,5,0,2,0,2,"Measles"
"Erysipelas","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",0,1,0,2,1,1,0,0,1,1,"Erysipelas"
"Poliomyelitis (acute)","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","Poliomyelitis (acute)"
"Diphtheria (and Croup)",4,7,3,0,1,2,4,1,1,1,1,0,2,1,1,2,1,4,3,1,"Diphtheria (and Croup)"
"Typhoid (enteric) Fever",0,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,"Typhoid (enteric) Fever"
"VD (syphilis from 1931)","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","VD (syphilis from 1931)"
"Smallpox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Smallpox"
"Encephalitis Lethargica","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","Encephalitis Lethargica"
"Other Infectious & parasitic diseases",1,3,2,1,0,2,0,0,2,2,"n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","Other Infectious & parasitic diseases"
"Cancer",26,30,25,25,21,21,22,23,16,32,38,24,36,21,40,28,36,30,40,43,"Cancer"
"Diabetes","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","Diabetes"
"Cerebro-Spinal Meningitis","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",5,1,4,1,5,1,5,3,3,3,"Cerebro-Spinal Meningitis"
"Heart Disease","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",43,47,41,40,45,39,37,36,39,60,"Heart Disease"
