Table 10 [11]:
"TABLE 10"
"CAUSE OF DEATH  IN CLIFTON UNION AND REGISTRATION DISTRICT (1838 – 1855)"

,1838,1839,1840,1841,1842,1849,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Diarrhoea and Dysentery",13,13,45,16,80,88,154
"Gastris-Enteritis",32,42,52,48,49,"n/g","n/g"
"Tuberculosis",204,218,232,199,211,"n/g","n/g"
"Whooping Cough",20,16,68,18,29,"n/g","n/g"
"Scarlet Fever",13,37,55,113,47,"n/g","n/g"
"Measles",83,7,122,11,73,"n/g","n/g"
"Erysipelas",3,6,20,11,8,"n/g","n/g"
"Typhus Fever",46,55,70,42,68,"n/g","n/g"
"Croup",11,10,11,26,9,"n/g","n/g"
"Typhoid (enteric) Fever","n/g","n/g","n/g","n/g","n/g","n/g","n/g"
"Syphilis",0,0,0,0,0,"n/g","n/g"
"Smallpox",83,8,103,73,4,"n/g","n/g"
"Cholera",0,1,3,0,5,563,92
"Cephalitis (encephalitis)",24,19,21,29,15,"n/g","n/g"
"Hepatitis and Jaundice",8,3,4,3,6,"n/g","n/g"
"Other Infectious & parasitic diseases",14,16,13,13,14,"n/g","n/g"
"Carcinoma and Tumour of uncertain seat",11,11,11,10,14,"n/g","n/g"
"Diabetes",2,1,0,2,0,"n/g","n/g"
"Epilepsy",6,3,3,3,7,"n/g","n/g"
"Nervous System Diseases",162,120,177,147,177,"n/g","n/g"
"Heart Disease (Aneurism and Pericarditis)",1,1,1,0,0,"n/g","n/g"
"Apoplexy (cerebral haemorrhage)",32,24,22,41,25,"n/g","n/g"
"Disease of the organs of circulation",26,20,29,25,45,"n/g","n/g"
"Pneumonia",123,112,133,170,137,"n/g","n/g"
"Influenza",1,1,5,12,1,"n/g","n/g"
"Bronchitis",8,7,12,10,16,"n/g","n/g"
"Asthma",16,22,26,25,34,"n/g","n/g"
"Other Respiratory Diseases",77,40,40,43,22,"n/g","n/g"
"Ulceration of the Digestive Organs",1,1,3,1,5,"n/g","n/g"
"Other Digestive System Diseases",15,16,8,19,13,"n/g","n/g"
"Nephritis",0,0,0,0,2,"n/g","n/g"
"Urinary System Diseases",15,31,16,21,14,"n/g","n/g"
"Generative System Diseases",0,1,7,5,5,"n/g","n/g"
"Childbirth and Puerperal Septic Diseases",6,12,10,9,7,"n/g","n/g"
"Rheumatism",2,3,3,3,6,"n/g","n/g"
"Malformation of Uncertain Seat",0,1,0,2,1,"n/g","n/g"

,1838,1839,1840,1841,1842,1849,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
