Table 11 [12]:
"TABLE 11"
"CAUSE OF DEATH  IN CLIFTON (BARTON REGIS FROM 14 MARCH 1877) UNION AND REGISTRATION DISTRICT (1856-1900)"

,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Diarrhoea and Dysentery",111,101,85,26,60,103,49,107,92,116,79,92,146,101,166,137,118,103,99,102,161,73,115,67,140,82,85,85,129,86,100,98,58,95,73,37,84,126,62,129,117,111,240,7,4,"Diarrhoea and Dysentery"
"Tuberculosis (all forms)",238,239,243,236,205,244,228,214,242,252,281,258,248,282,311,310,310,286,280,367,359,300,306,317,295,409,408,413,380,405,416,387,365,368,428,413,424,365,362,342,366,345,378,16,18,"Tuberculosis (all forms)"
"Whooping Cough",33,54,49,28,45,51,62,96,12,42,79,48,63,69,68,44,82,50,32,68,43,191,63,127,80,28,125,31,101,124,62,127,25,86,178,26,122,51,161,50,63,82,69,0,0,"Whooping Cough"
"Scarlet Fever",12,69,200,144,21,8,23,459,123,27,33,32,20,980,556,87,16,28,13,294,196,35,18,26,159,148,79,22,24,14,77,188,36,21,35,27,39,42,12,18,29,12,4,0,1,"Scarlet Fever"
"Measles",12,12,86,25,0,198,10,27,66,23,62,15,78,9,95,38,31,83,66,76,42,123,50,72,50,86,43,27,51,175,61,123,93,88,54,110,70,14,96,13,107,30,197,2,10,"Measles"
"Erysipelas",6,1,13,9,8,7,3,15,14,6,4,6,5,19,16,8,12,14,20,19,12,19,8,7,8,"n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","Erysipelas"
"Typhus Fever",52,73,68,64,32,51,75,86,107,134,98,109,79,13,12,6,4,8,4,2,5,27,2,0,0,9,9,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,"Typhus Fever"
"Diphtheria (and Croup)","n/g","n/g","n/g",25,7,1,17,13,15,15,9,5,17,9,12,13,6,25,5,11,13,3,10,1,9,10,6,12,16,15,17,16,9,4,6,13,16,24,34,25,29,28,16,0,2,"Diphtheria (and Croup)"
"Typhoid (enteric) Fever","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",49,48,64,41,67,40,57,50,44,44,30,28,33,28,36,27,10,15,22,14,22,23,13,12,18,12,6,12,26,10,3,0,"Typhoid (enteric) Fever"
"Smallpox",0,2,72,1,0,1,5,12,180,29,5,0,2,1,3,7,160,8,21,58,26,0,0,0,2,1,0,0,0,13,9,37,45,0,0,0,0,21,19,0,1,0,0,0,0,"Smallpox"
"Cholera",2,2,3,4,0,2,0,6,1,0,10,0,4,2,1,1,1,1,1,3,0,0,2,0,6,3,1,0,2,1,0,1,2,1,0,1,1,2,0,0,0,5,5,3,0,"Cholera"
"Other Infectious & parasitic diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",25,35,12,11,8,10,21,5,7,6,3,3,0,3,3,6,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,"Other Infectious & parasitic diseases"
"Cancer","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",95,95,87,103,97,107,102,108,114,104,128,146,137,121,158,136,163,161,13,7,"Cancer"
"Nervous System Diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",421,426,422,428,478,451,474,467,434,459,452,441,464,426,454,381,435,419,22,18,"Nervous System Diseases"
"Circulatory System Diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",238,227,241,224,283,319,217,287,285,345,348,340,308,285,322,318,3112,317,26,19,"Circulatory System Diseases"
"Influenza",5,7,4,3,3,2,4,1,1,1,3,1,1,0,5,1,0,0,1,0,5,0,0,0,1,"n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","Influenza"
"Other Respiratory Diseases",311,302,354,315,354,323,426,319,385,378,453,390,363,477,591,413,352,484,551,649,483,558,647,690,506,580,573,535,599,683,659,656,572,580,704,352,739,651,646,701,556,547,640,32,30,"Other Respiratory Diseases"
"Digestive System Diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",141,122,137,165,173,179,154,142,166,153,155,147,169,159,184,159,177,178,13,13,"Digestive System Diseases"
"Urinary System Diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",66,55,81,51,68,82,74,70,82,69,82,72,86,68,79,72,80,94,4,3,"Urinary System Diseases"
"Generative System Diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",14,5,11,8,9,6,8,8,8,8,10,3,13,12,3,5,11,8,0,0,"Generative System Diseases"
"Childbirth and Puerperal Septic Diseases",6,4,12,10,10,6,15,14,14,9,11,17,15,20,21,20,15,16,44,19,29,22,14,19,22,30,22,27,20,16,13,27,29,16,29,18,39,41,23,21,28,10,13,0,1,"Childbirth and Puerperal Septic Diseases"

,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
