Table 12 [13]:
"TABLE 12"
"CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904)"

,1901,1902,1903,1904

"Diarrhoea and Dysentery",5,5,0,4
"Tuberculosis (all forms including late effects)",14,15,17,21
"Whooping Cough",5,2,4,2
"Scarlet Fever",2,2,0,0
"Measles",0,7,0,3
"Erysipelas","n/g","n/g","n/g","n/g"
"Poliomyelitis (acute)","n/g","n/g","n/g","n/g"
"Diphtheria (and Croup)",7,6,2,2
"Typhoid (enteric) Fever",0,2,0,1
"VD","n/g","n/g","n/g","n/g"
"Smallpox",0,0,0,1
"Encephalitis Lethargica","n/g","n/g","n/g","n/g"
"Other Infectious & parasitic diseases",0,0,2,0
"Cancer",8,11,8,14
"Diabetes","n/g","n/g","n/g","n/g"
"Cerebro-Spinal Meningitis","n/g","n/g","n/g","n/g"
"Heart Disease","n/g","n/g","n/g","n/g"
"Vascular lesions of nervous system","n/g","n/g","n/g","n/g"
"Pneumonia",8,13,19,12
"Influenza",2,1,1,3
"Bronchitis",19,18,14,14
"Ulcer of stomach and Duodenum","n/g","n/g","n/g","n/g"
"Cirrhosis of the Liver","n/g","n/g","n/g","n/g"
"Nephritis and Bright's Disease","n/g","n/g","n/g","n/g"
"Childbirth and Puerperal Septic Diseases",0,1,1,2

,1901,1902,1903,1904
