Table 1 [2]:
"TABLE 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Diarrhoea and Dysentery",216,172,158,141,159,128,209,117,171,70,184,82,104,83,132,89,119,117,68,131,96,58,99,125,65,143,106,153,348,340,173,"Diarrhoea and Dysentery"
"Tuberculosis (all forms)",583,579,567,535,524,528,401,410,435,404,367,341,405,426,410,413,477,332,333,405,559,519,525,489,468,453,449,438,571,600,581,"Tuberculosis (all forms)"
"Whooping Cough",97,59,128,92,43,101,47,239,66,174,95,38,196,38,99,149,101,124,38,105,201,53,154,80,177,45,64,118,110,118,58,"Whooping Cough"
"Scarlet Fever",746,173,23,39,22,457,286,45,36,92,244,153,75,33,37,21,89,217,45,26,40,37,47,35,16,16,59,18,14,13,38,"Scarlet Fever"
"Measles",126,61,58,109,66,107,77,133,53,74,73,120,54,33,46,159,101,147,61,185,92,239,105,25,116,8,143,57,309,44,204,"Measles"
"Erysipelas","n/g","n/g","n/g","n/g","n/g","n/g",14,17,12,13,10,18,14,10,11,10,11,10,21,16,9,12,21,11,8,16,10,5,6,13,12,"Erysipelas"
"Typhus Fever","n/g","n/g","n/g","n/g","n/g","n/g",5,31,2,0,0,7,10,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Typhus Fever"
"Diphtheria (and Croup)",20,19,16,20,14,13,11,4,5,4,6,10,8,13,19,25,28,23,26,15,16,16,38,53,50,34,38,36,44,32,102,"Diphtheria (and Croup)"
"Typhoid (enteric) Fever",120,116,83,106,84,94,84,101,89,42,39,52,38,29,40,16,29,23,28,38,33,23,18,26,21,22,20,47,26,35,45,"Typhoid (enteric) Fever"
"VD (Syphilis)","n/g","n/g","n/g","n/g","n/g","n/g",34,52,39,39,35,25,25,26,36,32,23,25,24,19,24,20,34,34,29,23,18,20,24,28,22,"VD (Syphilis)"
"Smallpox",3,45,209,9,26,70,23,0,0,0,1,0,0,0,0,10,8,13,26,0,0,1,0,2,16,0,5,1,0,0,0,"Smallpox"
"Cholera ","n/g","n/g","n/g","n/g","n/g","n/g",0,0,0,0,0,0,1,"n/g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Cholera "
"Encephalitis","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",57,47,40,62,92,76,64,32,25,28,39,45,31,46,"Encephalitis"
"Cancer","n/g","n/g","n/g","n/g","n/g","n/g",53,80,85,70,105,108,97,73,105,118,122,118,131,152,164,168,179,172,183,208,201,212,243,289,291,"Cancer"
"Diabetes","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",17,14,8,11,"n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","Diabetes"
"Epilepsy","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",26,19,28,32,18,29,31,26,16,13,21,15,23,32,"Epilepsy"
"Heart Disease","n/g","n/g","n/g","n/g","n/g","n/g",233,244,244,288,273,271,254,254,255,305,308,312,256,301,400,380,352,359,284,379,389,386,472,602,559,"Heart Disease"
"Cerebral Haemorrhage","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",269,229,254,270,257,173,211,228,246,256,253,332,415,326,"Cerebral Haemorrhage"
"Pneumonia","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",230,262,226,190,268,305,274,270,281,238,243,238,334,385,385,"Pneumonia"
"Influenza",0,0,0,0,0,0,0,0,0,1,0,"n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",54,90,56,68,26,95,19,40,57,119,53,"Influenza"
"Bronchitis","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",580,458,455,582,661,521,461,408,495,425,434,587,673,562,"Bronchitis"
"Nephritis","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",80,54,70,72,"n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","Nephritis"
