Table 19 [20]:
"TABLE 19"
"NOTIFICATION OF INFECTIOUS DISEASE IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1921 – 1930)"

,,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Scarlet Fever","Cases",88,108,135,52,49,33,42,49,67,44
,"Attack Rate",4.92,5.99,6.93,2,2.28,1.62,1.45,1.69,2.63,1.89

"Diphtheria","Cases",24,13,7,16,20,6,23,8,11,34
,"Attack Rate",1.2,0.56,0.39,0.79,0.8,0.25,1.28,0.24,0.39,1.21

"Enteric Fever","Cases",0,1,3,4,0,1,1,0,2,8
,"Attack Rate",0,0,0.17,0.21,0,0.05,0,0,0.05,0.34

"Puerperal Fever","Cases",0,1,1,0,0,1,1,0,0,1
,"Attack Rate",0,0.06,0.06,0,0,0,0.06,0,0,0.05

"Puerperal Pyrexia","Cases","n/g","n/g","n/g","n/g","n/g","n/g",5,3,4,1
,"Attack Rate ","n/g","n/g","n/g","n/g","n/g","n/g",0.23,0.1,0.05,0.05

"Erysipelas","Cases",9,2,8,6,3,8,4,6,8,7
,"Attack Rate",0.29,0.11,0.28,0.26,0.16,0.35,0.06,0.15,0.24,0.34

"Smallpox","Cases",0,0,0,0,0,0,0,0,0,0
,"Attack Rate",0,0,0,0,0,0,0,0,0,0

,,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
,,
