Table 2 [3]:
"TABLE 2"
"CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855)"

,1838,1839,1840,1841,1842,1849,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Diarrhoea and Dysentery",13,4,38,17,39,123,78
"Gastritis-Enteritis",35,38,64,73,51,"n/g","n/g"
"Tuberculosis (all forms)",265,312,321,293,243,"n/g","n/g"
"Whooping Cough",26,38,90,29,36,"n/g","n/g"
"Scarlet Fever",7,59,39,79,49,"n/g","n/g"
"Measles",110,10,133,11,52,"n/g","n/g"
"Erysipelas",6,12,31,26,9,"n/g","n/g"
"Typhus Fever",59,64,73,77,79,"n/g","n/g"
"Croup",9,12,24,24,10,"n/g","n/g"
"Typhoid (enteric) Fever","n/g","n/g","n/g","n/g","n/g","n/g","n/g"
"Syphilis",1,2,2,5,1,"n/g","n/g"
"Smallpox",127,6,185,84,4,"n/g","n/g"
"Cholera",0,1,5,1,4,591,76
"Cephalitis (encephalitis)",12,11,30,27,27,"n/g","n/g"
"Hepatitis and Jaundice",3,6,5,9,10,"n/g","n/g"
"Other Infectious & parasitic diseases",25,35,38,31,22,"n/g","n/g"
"Carcinoma and Tumour of uncertain seat",20,29,15,18,13,"n/g","n/g"
"Diabetes",1,0,0,1,0,"n/g","n/g"
"Epilepsy",17,2,6,4,7,"n/g","n/g"
"Nervous System Diseases",224,211,218,186,206,"n/g","n/g"
"Heart Disease (Aneurism and Pericarditis)",4,6,3,3,4,"n/g","n/g"
"Apoplexy (cerebral haemorrhage)",22,21,34,37,29,"n/g","n/g"
"Other Circulatory System Diseases",27,26,34,27,47,"n/g","n/g"
"Pneumonia",102,117,211,153,164,"n/g","n/g"
"Influenza",2,2,0,2,0,"n/g","n/g"
"Bronchitis",19,23,53,57,41,"n/g","n/g"
"Asthma",38,31,41,30,37,"n/g","n/g"
"Other Respiratory Diseases",130,89,39,39,42,"n/g","n/g"
"Ulceration of the Digestive organs",0,2,1,2,4,"n/g","n/g"
"Other Digestive System Diseases",71,41,32,42,36,"n/g","n/g"
"Nephritis",2,1,1,3,2,"n/g","n/g"
"Urinary System Diseases",17,29,20,20,19,"n/g","n/g"
"Generative System Diseases",3,5,3,5,6,"n/g","n/g"
"Childbirth and Puerperal Septic Diseases",5,7,23,14,10,"n/g","n/g"
"Rheumatism and Arthritis",3,3,12,4,3,"n/g","n/g"
"Malformations of Uncertain Seat",3,0,3,2,1,"n/g","n/g"

,1838,1839,1840,1841,1842,1849,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
