Table 3 [4]:
"TABLE 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAUSE OF DEATH IN BRISTOL UNION (1856 – 1900)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diarrhoea and Dysentery",100,82,69,76,44,74,53,56,72,96,68,63,98,60,83,87,72,53,62,36,53,42,61,19,67,22,35,20,41,31,34,37,23,29,30,24,35,47,13,46,24,46,47,340,173,"Diarrhoea and Dysentery"
"Tuberculosis (all forms)",179,195,198,234,197,203,196,193,195,166,184,180,169,173,171,179,141,158,152,176,119,150,156,133,129,143,167,157,185,161,158,160,171,146,197,181,189,164,163,164,153,139,136,648,581,"Tuberculosis (all forms)"
"Whooping Cough",33,48,37,12,37,39,62,72,9,42,79,37,31,39,38,22,54,34,13,31,13,76,9,47,18,7,64,9,15,32,36,21,5,30,49,6,45,21,36,14,4,33,14,123,58,"Whooping Cough"
"Scarlet Fever",13,54,259,52,12,8,29,334,48,12,39,4,10,39,296,31,9,6,9,131,79,10,16,18,68,45,14,11,11,5,39,72,25,10,14,16,15,11,5,2,13,3,0,13,38,"Scarlet Fever"
"Measles",20,27,47,19,1,132,2,56,32,6,78,4,79,27,51,22,16,43,15,38,15,37,23,10,20,39,6,11,7,40,25,32,17,45,34,50,29,9,23,4,26,4,79,44,204,"Measles"
"Erysipelas",10,4,7,2,5,9,5,8,8,3,5,4,3,8,12,10,0,13,12,8,6,3,6,6,5,"n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",12,"Erysipelas"
"Typhus Fever",47,69,83,38,53,51,76,68,74,71,56,60,57,2,5,2,3,3,3,0,2,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Typhus Fever"
"Diphtheria (and Croup)","n/g","n/g","n/g",18,5,9,20,24,7,14,7,6,8,19,5,14,9,11,12,3,3,3,4,2,4,6,1,10,15,13,16,14,13,10,5,6,15,23,24,17,20,16,22,32,102,"Diphtheria (and Croup)"
"Typhoid (enteric) Fever","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",25,26,32,23,23,16,24,21,33,23,13,11,19,9,5,15,5,15,5,13,14,23,11,8,17,8,12,10,20,11,34,45,"Typhoid (enteric) Fever"
"VD","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",22,"VD"
"Smallpox",2,2,93,0,0,0,2,29,107,11,0,1,1,0,1,8,77,2,5,25,6,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,6,4,0,1,1,0,0,0,"Smallpox"
"Cholera",5,0,0,0,1,0,1,2,1,0,17,1,0,0,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,3,5,1,"Cholera"
"Other Infectious diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",14,14,4,3,7,3,1,1,1,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Other Infectious diseases"
"Cancer","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",49,46,29,43,50,52,45,46,44,63,63,71,68,71,80,84,63,71,299,291,"Cancer"
"Nervous System Diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",134,154,148,164,148,167,165,133,147,143,141,140,135,112,141,133,110,108,705,622,"Nervous System Diseases"
"Circulatory System Diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",99,102,102,129,125,109,130,114,135,169,154,124,150,126,157,138,121,113,590,547,"Circulatory System Diseases"
"Pneumonia","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",385,"Pneumonia"
"Influenza",4,0,1,3,3,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","Influenza"
"Other Respiratory Diseases",284,295,308,237,324,327,317,242,349,304,361,297,236,297,349,293,276,342,338,377,281,300,338,365,232,250,226,273,241,300,279,314,238,229,261,337,306,279,215,235,225,219,209,1133,1036,"Other Respiratory Diseases"
"Digestive System Diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",68,76,79,75,77,83,80,81,91,82,69,73,72,83,76,86,81,100,380,371,"Digestive System Diseases"
"Urinary System Diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",62,47,48,53,47,48,58,42,47,49,52,58,46,57,57,52,54,49,155,186,"Urinary System Diseases"
"Generative System Diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",6,5,5,4,7,4,5,5,5,8,10,6,4,9,7,1,9,11,22,18,"Generative System Diseases"
