Table 7 [8]:
"TABLE 7"
"CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855)"

,1838,1839,1840,1841,1842,1849,1854

"Diarrhoea and Dysentery",3,3,2,2,3,33,26
"Gastritis-Enteritis",17,30,41,40,37,"n/g","n/g"
"Tuberculosis (all forms)",138,137,145,122,113,"n/g","n/g"
"Whooping Cough",10,9,15,8,4,"n/g","n/g"
"Scarlet Fever",6,4,36,79,59,"n/g","n/g"
"Measles",36,6,32,15,29,"n/g","n/g"
"Erysipelas",0,1,2,1,3,"n/g","n/g"
"Typhus Fever",20,34,26,26,23,"n/g","n/g"
"Croup",1,2,11,8,13,"n/g","n/g"
"Typhoid (enteric) Fever","n/g","n/g","n/g","n/g","n/g","n/g","n/g"
"Syphilis",0,0,0,0,0,"n/g","n/g"
"Smallpox",70,28,29,46,0,"n/g","n/g"
"Cholera",0,0,1,0,0,281,4
"Cephalitis (encephalitis)",8,9,14,6,8,"n/g","n/g"
"Hepatitis and Jaundice",4,2,4,2,2,"n/g","n/g"
"Other Infectious & parasitic diseases",4,2,6,6,2,"n/g","n/g"
"Carcinoma and Tumour of uncertain seat",10,4,7,7,7,"n/g","n/g"
"Diabetes",0,0,0,1,0,"n/g","n/g"
"Epilepsy",5,3,2,1,2,"n/g","n/g"
"Nervous System Diseases",86,107,112,95,87,"n/g","n/g"
"Heart Disease (Aneurism and Pericarditis)",0,1,0,0,1,"n/g","n/g"
"Apoplexy (cerebral haemorrhage)",10,6,9,15,6,"n/g","n/g"
"Other Circulatory System Diseases",5,10,12,12,17,"n/g","n/g"
"Pneumonia",89,77,86,87,60,"n/g","n/g"
"Influenza",1,1,0,4,3,"n/g","n/g"
"Bronchitis",2,1,4,4,4,"n/g","n/g"
"Asthma",10,16,13,17,14,"n/g","n/g"
"Other Respiratory Diseases",7,8,12,9,8,"n/g","n/g"
"Ulceration of the Digestive organs",0,0,0,0,1,"n/g","n/g"
"Other Digestive System Diseases",5,7,7,4,7,"n/g","n/g"
"Nephritis",0,1,0,0,0,"n/g","n/g"
"Urinary System Diseases",7,5,6,8,8,"n/g","n/g"
"Generative System Diseases",0,1,4,1,2,"n/g","n/g"
"Childbirth and Puerperal Septic Diseases",6,3,3,6,4,"n/g","n/g"
"Rheumatism and Arthritis",2,0,1,4,1,"n/g","n/g"
"Malformations of Uncertain Seat",0,0,0,0,0,"n/g","n/g"

,1838,1839,1840,1841,1842,1849,1854
