CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1901, 3
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1902, 4
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1903, 1
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1904, 5
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1905, 1
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1906, 8
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1907, 4
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1908, 3
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1909, 4
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1910, 2
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1911, 13
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1912, 6
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1913, 2
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1914, 4
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1915, 1
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1916, 3
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1917, 1
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1918, 3
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1919, 3
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Diarrhoea and Dysentery, 1920, 2
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Tuberculosis (all forms including late effects), 1901, 31
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Tuberculosis (all forms including late effects), 1902, 27
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Tuberculosis (all forms including late effects), 1903, 28
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Tuberculosis (all forms including late effects), 1904, 29
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Tuberculosis (all forms including late effects), 1905, 26
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Tuberculosis (all forms including late effects), 1906, 30
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Tuberculosis (all forms including late effects), 1907, 27
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Tuberculosis (all forms including late effects), 1908, 32
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Tuberculosis (all forms including late effects), 1909, 22
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Tuberculosis (all forms including late effects), 1910, 20
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Tuberculosis (all forms including late effects), 1911, 29
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Tuberculosis (all forms including late effects), 1912, 31
CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920), Tuberculosis (all forms including late effects), 1913, 24
