CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Diarrhoea and Dysentery, 1901, 5
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Diarrhoea and Dysentery, 1902, 5
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Diarrhoea and Dysentery, 1903, 0
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Diarrhoea and Dysentery, 1904, 4
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Tuberculosis (all forms including late effects), 1901, 14
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Tuberculosis (all forms including late effects), 1902, 15
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Tuberculosis (all forms including late effects), 1903, 17
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Tuberculosis (all forms including late effects), 1904, 21
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Whooping Cough, 1901, 5
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Whooping Cough, 1902, 2
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Whooping Cough, 1903, 4
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Whooping Cough, 1904, 2
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Scarlet Fever, 1901, 2
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Scarlet Fever, 1902, 2
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Scarlet Fever, 1903, 0
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Scarlet Fever, 1904, 0
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Measles, 1901, 0
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Measles, 1902, 7
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Measles, 1903, 0
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Measles, 1904, 3
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Erysipelas, 1901, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Erysipelas, 1902, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Erysipelas, 1903, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Erysipelas, 1904, n/g
