CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1870, 216
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1871, 172
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1872, 158
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1873, 141
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1874, 159
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1875, 128
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1876, 209
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1877, 117
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1878, 171
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1879, 70
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1880, 184
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1881, 82
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1882, 104
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1883, 83
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1884, 132
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1885, 89
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1886, 119
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1887, 117
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1888, 68
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1889, 131
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1890, 96
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1891, 58
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1892, 99
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1893, 125
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1894, 65
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1895, 143
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1896, 106
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1897, 153
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1898, 348
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1899, 340
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Diarrhoea and Dysentery, 1900, 173
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1870, 583
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1871, 579
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1872, 567
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1873, 535
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1874, 524
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1875, 528
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1876, 401
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1877, 410
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1878, 435
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1879, 404
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1880, 367
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1881, 341
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1882, 405
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1883, 426
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1884, 410
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1885, 413
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1886, 477
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1887, 332
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1888, 333
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1889, 405
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1890, 559
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1891, 519
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1892, 525
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1893, 489
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1894, 468
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1895, 453
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1896, 449
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1897, 438
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1898, 571
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1899, 600
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Tuberculosis (all forms), 1900, 581
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1870, 97
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1871, 59
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1872, 128
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1873, 92
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1874, 43
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1875, 101
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1876, 47
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1877, 239
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1878, 66
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1879, 174
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1880, 95
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1881, 38
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1882, 196
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1883, 38
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1884, 99
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1885, 149
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1886, 101
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1887, 124
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1888, 38
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1889, 105
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1890, 201
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1891, 53
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1892, 154
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1893, 80
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1894, 177
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1895, 45
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1896, 64
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1897, 118
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1898, 110
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1899, 118
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Whooping Cough, 1900, 58
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Scarlet Fever, 1870, 746
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Scarlet Fever, 1871, 173
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Scarlet Fever, 1872, 23
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Scarlet Fever, 1873, 39
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Scarlet Fever, 1874, 22
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Scarlet Fever, 1875, 457
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Scarlet Fever, 1876, 286
CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900), Scarlet Fever, 1877, 45
