CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Diarrhoea and Dysentery, 1838, 13
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Diarrhoea and Dysentery, 1839, 4
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Diarrhoea and Dysentery, 1840, 38
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Diarrhoea and Dysentery, 1841, 17
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Diarrhoea and Dysentery, 1842, 39
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Diarrhoea and Dysentery, 1849, 123
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Diarrhoea and Dysentery, 1854, 78
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Gastritis-Enteritis, 1838, 35
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Gastritis-Enteritis, 1839, 38
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Gastritis-Enteritis, 1840, 64
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Gastritis-Enteritis, 1841, 73
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Gastritis-Enteritis, 1842, 51
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Gastritis-Enteritis, 1849, n/g
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Gastritis-Enteritis, 1854, n/g
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Tuberculosis (all forms), 1838, 265
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Tuberculosis (all forms), 1839, 312
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Tuberculosis (all forms), 1840, 321
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Tuberculosis (all forms), 1841, 293
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Tuberculosis (all forms), 1842, 243
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Tuberculosis (all forms), 1849, n/g
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Tuberculosis (all forms), 1854, n/g
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Whooping Cough, 1838, 26
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Whooping Cough, 1839, 38
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Whooping Cough, 1840, 90
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Whooping Cough, 1841, 29
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Whooping Cough, 1842, 36
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Whooping Cough, 1849, n/g
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Whooping Cough, 1854, n/g
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Scarlet Fever, 1838, 7
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Scarlet Fever, 1839, 59
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Scarlet Fever, 1840, 39
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Scarlet Fever, 1841, 79
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Scarlet Fever, 1842, 49
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Scarlet Fever, 1849, n/g
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Scarlet Fever, 1854, n/g
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Measles, 1838, 110
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Measles, 1839, 10
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Measles, 1840, 133
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Measles, 1841, 11
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Measles, 1842, 52
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Measles, 1849, n/g
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Measles, 1854, n/g
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Erysipelas, 1838, 6
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Erysipelas, 1839, 12
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Erysipelas, 1840, 31
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Erysipelas, 1841, 26
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Erysipelas, 1842, 9
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Erysipelas, 1849, n/g
CAUSE OF DEATH IN BRISTOL UNION (1838 – 1855), Erysipelas, 1854, n/g
