CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1940, 42
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1941, 25
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1942, 8
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1943, 31
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1944, 33
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1945, 22
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1946, 25
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1947, 16
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1948, 3
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1949, 5
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1950, 27
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1951, 32
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1952, 23
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1953, 24
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1954, 18
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1955, 23
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1956, 23
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1957, 20
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1958, 25
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1959, 19
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1960, 30
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1961, 24
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1962, 22
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1963, 20
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1964, 24
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1965, 26
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1966, 32
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1967, 40
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1968, 11
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1969, 6
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1970, 7
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1971, 4
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1972, 6
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1973, 6
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1974, 3
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1975, 5
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1976, 5
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1977, 5
CAUSE OF DEATH  IN CITY AND COUNTY OF BRISTOL (1940 – 1978), Gastris-enteritis and diarrhoea, 1978, 2
