CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Diarrhoea and Dysentery, 1838, 3
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Diarrhoea and Dysentery, 1839, 3
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Diarrhoea and Dysentery, 1840, 2
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Diarrhoea and Dysentery, 1841, 2
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Diarrhoea and Dysentery, 1842, 3
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Diarrhoea and Dysentery, 1849, 33
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Diarrhoea and Dysentery, 1854, 26
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Gastritis-Enteritis, 1838, 17
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Gastritis-Enteritis, 1839, 30
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Gastritis-Enteritis, 1840, 41
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Gastritis-Enteritis, 1841, 40
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Gastritis-Enteritis, 1842, 37
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Gastritis-Enteritis, 1849, n/g
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Gastritis-Enteritis, 1854, n/g
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Tuberculosis (all forms), 1838, 138
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Tuberculosis (all forms), 1839, 137
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Tuberculosis (all forms), 1840, 145
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Tuberculosis (all forms), 1841, 122
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Tuberculosis (all forms), 1842, 113
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Tuberculosis (all forms), 1849, n/g
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Tuberculosis (all forms), 1854, n/g
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Whooping Cough, 1838, 10
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Whooping Cough, 1839, 9
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Whooping Cough, 1840, 15
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Whooping Cough, 1841, 8
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Whooping Cough, 1842, 4
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Whooping Cough, 1849, n/g
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Whooping Cough, 1854, n/g
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Scarlet Fever, 1838, 6
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Scarlet Fever, 1839, 4
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Scarlet Fever, 1840, 36
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Scarlet Fever, 1841, 79
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Scarlet Fever, 1842, 59
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Scarlet Fever, 1849, n/g
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Scarlet Fever, 1854, n/g
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Measles, 1838, 36
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Measles, 1839, 6
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Measles, 1840, 32
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Measles, 1841, 15
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Measles, 1842, 29
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Measles, 1849, n/g
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Measles, 1854, n/g
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1838 – 1855), Erysipelas, 1838, 0
